game_name,trainer_name,trainer_url,download_url
Command & Conquer Remastered Collection,Command & Conquer Remastered Collection Trainer,https://flingtrainer.com/trainer/command-conquer-remastered-collection-trainer/,"https://flingtrainer.com/downloads/8uQwCx7PW-2qMjSWJbAPlg,,"
Conan Unconquered,Conan Unconquered Trainer,https://flingtrainer.com/trainer/conan-unconquered-trainer/,"https://flingtrainer.com/downloads/O5rIIIoLogJYnM8qgEAKyg,,"
Contra: Rogue Corps,Contra: Rogue Corps Trainer,https://flingtrainer.com/trainer/contra-rogue-corps-trainer/,"https://flingtrainer.com/downloads/ArjYtNJau6uaCZ2Ef5KgbA,,"
Control Ultimate Edition,Control Ultimate Edition Trainer,https://flingtrainer.com/trainer/control-trainer/,"https://flingtrainer.com/downloads/xUjB9hkxg21p_OUHyXNl2A,,"
Core Keeper,Core Keeper Trainer,https://flingtrainer.com/trainer/core-keeper-trainer/,"https://flingtrainer.com/downloads/ckjpdfCeG4BUyaVaYV16Fw,,"
Craftopia,Craftopia Trainer,https://flingtrainer.com/trainer/craftopia-trainer/,"https://flingtrainer.com/downloads/WYWO4N_Xfj6wG27xgFs2Fg,,"
Crashlands 2,Crashlands 2 Trainer,https://flingtrainer.com/trainer/crashlands-2-trainer/,"https://flingtrainer.com/downloads/DfXL0sgpJYyTHSW23IGMiw,,"
Crime Boss: Rockay City,Crime Boss: Rockay City Trainer,https://flingtrainer.com/trainer/crime-boss-rockay-city-trainer/,"https://flingtrainer.com/downloads/5QFgR1KAAVC6atRJGL0Ohg,,"
Crisis Core Final Fantasy VII Reunion,Crisis Core Final Fantasy VII Reunion Trainer,https://flingtrainer.com/trainer/crisis-core-final-fantasy-vii-reunion-trainer/,"https://flingtrainer.com/downloads/e3ojvgMPJtSEy1p5FiNt0Q,,"
Cronos: The New Dawn,Cronos: The New Dawn Trainer,https://flingtrainer.com/trainer/cronos-the-new-dawn-trainer/,"https://flingtrainer.com/downloads/1SsocFAsZQ89wj2u3eZhDw,,"
Crown Trick,Crown Trick Trainer,https://flingtrainer.com/trainer/crown-trick-trainer/,"https://flingtrainer.com/downloads/BFd7HKpE8FaTibcSfiSTzQ,,"
Crusader Kings III,Crusader Kings III Trainer,https://flingtrainer.com/trainer/crusader-kings-iii-trainer/,"https://flingtrainer.com/downloads/NieFrP0GpYxGFfJ5ntCmOw,,"
Crying Suns,Crying Suns Trainer,https://flingtrainer.com/trainer/crying-suns-trainer/,"https://flingtrainer.com/downloads/sSmdr3hBgTI0RKBybppoqw,,"
Crysis Remastered,Crysis Remastered Trainer,https://flingtrainer.com/trainer/crysis-remastered-trainer/,"https://flingtrainer.com/downloads/9Zl3riUzCOW_I8IkXK3NVQ,,"
Cult of the Lamb,Cult of the Lamb Trainer,https://flingtrainer.com/trainer/cult-of-the-lamb-trainer/,"https://flingtrainer.com/downloads/BjJFrUTqLw6Usr9xNTgyaA,,"
Cuphead,Cuphead Trainer,https://flingtrainer.com/trainer/cuphead-trainer/,"https://flingtrainer.com/downloads/WYKDjqtu_4tfl40rCKKTQg,,"
Curious Expedition 2,Curious Expedition 2 Trainer,https://flingtrainer.com/trainer/curious-expedition-2-trainer/,"https://flingtrainer.com/downloads/ZcrYRnmpvnrsHrjcF4NGEg,,"
Curse of the Dead Gods,Curse of the Dead Gods Trainer,https://flingtrainer.com/trainer/curse-of-the-dead-gods-trainer/,"https://flingtrainer.com/downloads/_20rfV9hWB35duOpVZiErQ,,"
Cyberpunk 2077,Cyberpunk 2077 Trainer,https://flingtrainer.com/trainer/cyberpunk-2077-trainer-16095388215/,"https://flingtrainer.com/downloads/4MtPPLh_ZZMXwfHXRMuI2w,,"
Daemon X Machina,Daemon X Machina Trainer,https://flingtrainer.com/trainer/daemon-x-machina-trainer/,"https://flingtrainer.com/downloads/z4V-5NId0NU0lKlbFYWPSQ,,"
